,Si-Si,Si-Bi,Bi-Bi,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.6000000000000001
7,0.0,0.0,0.0,0.7000000000000001
8,0.0,0.0,0.0,0.8
9,0.0,0.0,0.0,0.9
10,2.1150310937273683e-07,0.0,0.0,1.0
11,4.47965677390209e-06,0.0,0.0,1.1
12,5.286223349367452e-05,0.0,0.0,1.2000000000000002
13,0.00038215652887899266,7.769501976957681e-08,0.0,1.3
14,0.0020352532610705305,2.4888213359941924e-06,0.0,1.4000000000000001
15,0.008712979358699495,2.5343473058127973e-05,0.0,1.5
16,0.030775907709061037,0.00016172719679329845,1.4276459882659733e-06,1.6
17,0.0904559830673253,0.0008048343817846638,1.8519451056848786e-05,1.7000000000000002
18,0.22248958037853456,0.003250977809170708,0.00013440022106510816,1.8
19,0.4609255538992484,0.010910044050397602,0.0007341793962993505,1.9000000000000001
20,0.8109047015182878,0.03087396827734625,0.0031922217933260813,2.0
21,1.2242955124285864,0.07456654332507971,0.01147967410516612,2.1
22,1.6073616679922718,0.15536712476800638,0.03464051949488147,2.2
23,1.8651353254590601,0.28202521168131145,0.08859215805729556,2.3000000000000003
24,1.9505523692807996,0.45029738640583994,0.19364022897671895,2.4000000000000004
25,1.880921953359727,0.639416842674206,0.36484502365863325,2.5
26,1.7160727474687485,0.8190002198968857,0.5983992623218518,2.6
27,1.5222501480431105,0.9631922382756332,0.8645398140900831,2.7
28,1.3464821147103108,1.0608832413003129,1.1157929346275124,2.8000000000000003
29,1.2094793881263568,1.1148944234983962,1.3071619305043756,2.9000000000000004
30,1.1121092455590342,1.1345365420143676,1.4153056875877763,3.0
31,1.0465593630143981,1.1298873085534689,1.4456238822505791,3.1
32,1.0048021283864588,1.1099118259388494,1.4245825922362167,3.2
33,0.9813714646116822,1.0816921865385862,1.3827782646467712,3.3000000000000003
34,0.9722539789676324,1.0498691369783821,1.3397413044140771,3.4000000000000004
35,0.9733276959250297,1.0174566736292219,1.2992727751099118,3.5
36,0.9800119857517063,0.9873921619330144,1.2552919151966735,3.6
37,0.9880139217584477,0.9627743997308995,1.2014883766577074,3.7
38,0.9945590764587819,0.9456255001208201,1.1376200515422368,3.8000000000000003
39,0.999086051431785,0.9358853495173283,1.069303065321737,3.9000000000000004
40,1.0024025231427935,0.931738488242419,1.0038591718157364,4.0
41,1.0049119560692479,0.9309179008883558,0.9474341278399102,4.1000000000000005
42,1.0058383682537857,0.9319480218480011,0.9045755887732982,4.2
43,1.0041183357720491,0.934561220234694,0.8775300881510882,4.3
44,0.9995285940839681,0.9392750683571376,0.8644474103341111,4.4
45,0.9928072586253166,0.9466286784119397,0.85967839147545,4.5
46,0.9852923896949274,0.9565767347561812,0.8579115874176951,4.6000000000000005
47,0.978732119937358,0.9683225449642386,0.8588834393241177,4.7
48,0.9746702243400507,0.9805564176695369,0.8678103599799715,4.800000000000001
49,0.9732617001445717,0.9919525114841666,0.8902772179577763,4.9
50,0.973000804839064,1.0017318737599017,0.925639586603285,5.0
51,0.9721640357450471,1.0099080013394328,0.9653760714975026,5.1000000000000005
52,0.9704090336902603,1.0169918270969542,0.9992355130473717,5.2
53,0.9688398726144745,1.0233844882818526,1.0236106305495636,5.300000000000001
54,0.9688666937396583,1.0289694194217118,1.042913334368748,5.4
55,0.9711623814712564,1.0332334052645202,1.0625121770515555,5.5
56,0.9752669424449851,1.0358590825370946,1.0819648480764654,5.6000000000000005
57,0.9797764891697766,1.037153443403022,1.096055227920663,5.7
58,0.9830442246221686,1.0377456353066612,1.1008646106563642,5.800000000000001
59,0.9840590689015641,1.0379276554217893,1.097129665894431,5.9
60,0.9829070744307703,1.0375081988733332,1.0881267528606549,6.0
61,0.980584556572547,1.0362241842752558,1.0760136844580617,6.1000000000000005
62,0.9784101881738779,1.0340018718641233,1.0610127050678992,6.2
63,0.9773192497770626,1.0309619952275895,1.04327904470778,6.300000000000001
64,0.9774267895650693,1.0276349094527162,1.0240277587101734,6.4
65,0.9782137822552646,1.0251323287256133,1.0045513796100183,6.5
66,0.9791117992738808,1.0245334939829789,0.985230895208561,6.6000000000000005
67,0.9798421436570128,1.0257740594815823,0.9659050121820187,6.7
68,0.9803524801251187,1.0273877265847897,0.9463537917945436,6.800000000000001
69,0.9807402529935342,1.027688271808994,0.9264247144149389,6.9
70,0.981280905374834,1.026254962549407,0.9066251366678315,7.0
71,0.9823038759830952,1.024142125926265,0.8886406687822456,7.1000000000000005
72,0.983870367891394,1.0227182852329304,0.87477554268656,7.2
73,0.9856056199782419,1.022508613650971,0.8668794324055329,7.300000000000001
74,0.98694872968346,1.0231046354719047,0.8655158079152837,7.4
75,0.9875571729632787,1.023795783899099,0.8697372188077397,7.5
76,0.9874540437445289,1.0240823831568788,0.877982123201602,7.6000000000000005
77,0.986819874897171,1.0238481132550703,0.8893279025628922,7.7
78,0.9857331263517344,1.0233779372468232,0.9032213516266782,7.800000000000001
79,0.984207189410453,1.0231967734977434,0.9180258268494609,7.9
80,0.9824480455076624,1.0237246113177372,0.9311124832216298,8.0
81,0.9808618876234273,1.0250920572307352,0.9410013194310494,8.1
82,0.9797119845297496,1.027285871231777,0.9486008448966983,8.200000000000001
83,0.9788899851704607,1.0302877933218677,0.9556947546052037,8.3
84,0.9781333591103346,1.033858240562147,0.962707539720925,8.4
85,0.9774251627893455,1.0372180349410105,0.9684546402752321,8.5
86,0.9770907068241951,1.039275513087948,0.9716895983987484,8.6
87,0.9774730720821091,1.0394687748799436,0.9724359466313319,8.700000000000001
88,0.9785456751020596,1.0382617276066497,0.971951223459422,8.8
89,0.9799080566673862,1.036472704453351,0.971694825167623,8.9
90,0.9811839616245382,1.034213545873541,0.9723608401605421,9.0
91,0.9823453867616417,1.0309607549304032,0.973728710725244,9.1
92,0.983611133008084,1.0266622874943536,0.9751347390361655,9.200000000000001
93,0.9850936738361564,1.0222173786402398,0.9758469540598339,9.3
94,0.9865705117053857,1.0186706965999388,0.9751932097616285,9.4
95,0.9875504634898687,1.0162814885981883,0.9728909517585153,9.5
96,0.9875991445467011,1.0145331679417884,0.9693600667278508,9.600000000000001
97,0.9867034205758157,1.0128319193643245,0.9654107491902004,9.700000000000001
98,0.9853166483970937,1.011048619193513,0.9617136899822278,9.8
99,0.9840386580722166,1.009503214559963,0.9587568275548284,9.9
100,0.9833019746397876,1.0086096791913355,0.9570612024763521,10.0
